code,name,segment,role,current_in_leaders,priority,why_watch
2330,台積電,晶圓代工/CoWoS,AI GPU/ASIC 製造與先進封裝核心,yes,A,0050 最大持股且 00981A 前十大，整條 AI 晶片供應鏈核心
2454,聯發科,IC 設計,邊緣 AI/通訊 SoC 與 ASIC 相關題材,yes,A,0050/00981A 皆有參考價值，台股大型 IC 設計代表
3661,世芯-KY,ASIC 設計服務,雲端 ASIC 與客製化晶片設計服務,no,A,台灣 ASIC 供應鏈核心缺口，適合補進 AI 半導體上游觀察
3443,創意,ASIC 設計服務,台積電生態系 ASIC 設計服務,no,A,AI ASIC 趨勢下的重要設計服務公司
3035,智原,ASIC/IP,ASIC 與 IP 設計服務,no,B,ASIC/IP 觀察補位，波動大但與 AI 客製晶片趨勢相關
3529,力旺,矽智財/IP,嵌入式非揮發性記憶體 IP,no,B,IP 層缺口，偏長線技術授權觀察
3711,日月光投控,封裝封測,先進封裝後段與封測,yes,A,0050 前十大附近，CoWoS 後段與測試需求受惠
2449,京元電子,測試,晶片測試服務,no,A,AI/HPC 晶片測試需求受惠，封測鏈缺口
6223,旺矽,測試介面,探針卡與測試介面,no,A,00981A 前十大常見持股，AI/HPC 測試規格升級受惠
6510,精測,測試介面,高階探針卡/測試載板,no,B,高階測試介面補位，景氣循環與客戶集中需留意
2383,台光電,CCL/材料,高速低損耗銅箔基板,yes,A,0050/00981A 前十大，AI 伺服器 PCB 材料核心
6274,台燿,CCL/材料,高速 CCL 材料,yes,A,00981A 常見持股，高速傳輸材料受惠
2368,金像電,PCB,AI 伺服器高階 PCB,no,A,00981A 前十大常見持股，leaders 目前缺少
3037,欣興,ABF/載板,ABF 載板與高階封裝載板,yes,A,0050 前十大附近，AI/HPC 載板需求受惠
8046,南電,ABF/載板,ABF 載板,yes,A,00981A 最新前十大之一，載板鏈重要觀察
3189,景碩,ABF/載板,封裝載板,yes,B,載板循環補位，已在 leaders
4958,臻鼎-KY,PCB,大型 PCB/伺服器板,no,B,PCB 大廠，適合觀察是否切入高階 AI 伺服器板放量
3044,健鼎,PCB,伺服器/車用/通訊 PCB,no,B,PCB 補位，穩健型但 AI 純度較金像電低
2317,鴻海,AI 伺服器/組裝,AI server/rack 整合,yes,A,0050 前十大，AI 伺服器製造與系統整合代表
2382,廣達,AI 伺服器/ODM,雲端 AI 伺服器 ODM,yes,A,0050 前十大附近，CSP AI 伺服器需求受惠
3231,緯創,AI 伺服器/ODM,AI 伺服器製造,yes,A,AI server 製造核心，已有 leaders
6669,緯穎,AI 伺服器/雲端,雲端資料中心伺服器,yes,A,00981A 曾列前十大，AI server 純度高；leaders 已收
2356,英業達,AI 伺服器/ODM,伺服器與筆電 ODM,no,B,AI server ODM 補位，毛利與競爭壓力需觀察
2376,技嘉,AI 伺服器/板卡,GPU 伺服器與主機板,no,B,stock_names 已有但 leaders 未收，AI server 題材補位
2357,華碩,AI PC/伺服器,AI PC 與伺服器,no,B,00981A 初期持股曾出現，AI PC/伺服器雙題材
8210,勤誠,伺服器機殼/機構件,AI 伺服器機殼與機構件,no,A,00981A 初期前十大，rack/機構件缺口
3017,奇鋐,散熱,AI 伺服器風冷/液冷散熱,yes,A,0050/00981A 前十大，散熱主線核心
3324,雙鴻,散熱,AI 伺服器散熱模組,yes,A,散熱主線核心，已在 leaders
3653,健策,散熱/均熱,均熱片/散熱與半導體零組件,yes,A,00981A 前十大，散熱與半導體零件雙題材
2421,建準,散熱風扇,風扇與散熱模組,no,B,散熱鏈補位，適合觀察規格升級
3483,力致,散熱,散熱模組與風扇,no,C,中小型散熱補位，波動與流動性需留意
2308,台達電,電源/液冷/HVDC,AI 伺服器 PSU/BBU/電源櫃/液冷,yes,A,0050/00981A 前十大，大摩與法人看好 AI 電源升級
2301,光寶科,電源/BBU,AI 伺服器 PSU/BBU/電源櫃,no,A,AI 電源雙雄之一，目前 leaders 缺口
6412,群電,電源,AI 伺服器電源供應器,no,B,800V/HVDC 電源題材補位
6282,康舒,電源,伺服器/通訊電源,no,B,電源供應鏈二線補位，需用營收驗證 AI 純度
3026,禾伸堂,被動元件/電源零件,MLCC/被動元件與電源相關零組件,no,B,你指定的電源周邊補位，較偏零組件
2327,國巨,被動元件,MLCC/電阻/電容,no,B,AI 伺服器電源與高階電子被動元件需求補位
2492,華新科,被動元件,MLCC/晶片電阻,no,C,被動元件循環補位，AI 純度需追蹤
3665,貿聯-KY,線束/連接,高速線束與資料中心連接,no,A,00981A 前十大常見持股，AI server 連接鏈缺口
3533,嘉澤,連接器,CPU/socket 與高速連接器,no,A,00981A 初期持股，伺服器平台升級受惠
3023,信邦,線束/連接,工業/資料中心線束,no,B,連接線束補位，AI 純度需用訂單驗證
2345,智邦,網通/交換器,AI 資料中心交換器,yes,A,0050/00981A 前十大，資料中心網路核心
6285,啟碁,網通,企業/衛星/通訊設備,yes,B,leaders 已收，AI 資料中心純度較智邦低但仍可觀察
3596,智易,網通,寬頻/企業網通,yes,C,已在 leaders，偏網通景氣與衛星題材
3081,聯亞,光通訊,磊晶/光通訊元件,no,B,AI 資料中心光通訊補位，波動較高
3363,上詮,光通訊,光纖通訊元件,no,B,光通訊補位，需留意題材波動
4979,華星光,光通訊,光收發模組,no,B,AI 資料中心光通訊題材，波動高
6442,光聖,光通訊,光通訊元件/模組,no,B,光通訊補位，需留意估值與流動性
3450,聯鈞,光通訊,光通訊元件,no,C,光通訊補位，景氣循環明顯
3583,辛耘,半導體設備/再生晶圓,CoWoS/先進製程設備與服務,no,B,設備材料缺口，受惠先進封裝擴產
3131,弘塑,半導體設備,濕製程設備,no,B,先進製程/封裝設備補位
3680,家登,半導體材料/載具,EUV/晶圓傳載解決方案,no,B,半導體材料與載具補位
3413,京鼎,半導體設備,設備零組件/代工,no,B,半導體設備鏈補位
6139,亞翔,無塵室/工程,半導體廠務工程,no,C,建廠/擴產循環觀察
